label,src_dir,row,col,num_points,mask,HH_0_0,HV_0_0,IA_0_0,FYI,MYI
3.063,./data/SAR/20180429_140506_canny.tif,3862,9293,1,3,0.2117647058823529,0.0470588235294117,0.0942636452469171,0.46185028553009033,0.5381497144699097
2.24,./data/SAR/20180429_140506_canny.tif,3863,9292,1,3,0.2470588235294117,0.0431372549019607,0.0942769892075482,0.559991180896759,0.44000890851020813
2.661,./data/SAR/20180429_140506_canny.tif,3865,9292,1,3,0.2156862745098039,0.0509803921568627,0.0942769892075482,0.29586732387542725,0.7041326761245728
2.367,./data/SAR/20180429_140506_canny.tif,3866,9292,1,3,0.2117647058823529,0.0431372549019607,0.0942769892075482,0.3203078806400299,0.6796921491622925
3.11,./data/SAR/20180429_140506_canny.tif,3867,9292,1,3,0.2588235294117647,0.0509803921568627,0.0942769892075482,0.603620707988739,0.3963793218135834
2.88,./data/SAR/20180429_140506_canny.tif,3868,9291,1,3,0.2235294117647059,0.0588235294117647,0.0942903331681793,0.6157276630401611,0.38427239656448364
3.317,./data/SAR/20180429_140506_canny.tif,3870,9291,1,3,0.2274509803921568,0.0549019607843137,0.0942903331681793,0.6137429475784302,0.3862571120262146
3.388,./data/SAR/20180429_140506_canny.tif,3871,9291,1,3,0.1490196078431372,0.0431372549019607,0.0942903331681793,0.6261034607887268,0.3738965392112732
2.94,./data/SAR/20180429_140506_canny.tif,3872,9291,1,3,0.1294117647058823,0.0470588235294117,0.0942903331681793,0.612522304058075,0.38747766613960266
4.101,./data/SAR/20180429_140506_canny.tif,3873,9291,1,3,0.1450980392156863,0.0509803921568627,0.0942903331681793,0.5354830026626587,0.4645170271396637
3.653,./data/SAR/20180429_140506_canny.tif,3874,9290,1,3,0.2705882352941176,0.0705882352941176,0.0943036771288105,0.8494356870651245,0.15056435763835907
2.819,./data/SAR/20180429_140506_canny.tif,3875,9290,1,3,0.2901960784313726,0.0862745098039215,0.0943036771288105,0.8932742476463318,0.1067257896065712
2.721,./data/SAR/20180429_140506_canny.tif,3878,9290,1,3,0.1647058823529411,0.0627450980392156,0.0943036771288105,0.887260913848877,0.11273909360170364
2.936,./data/SAR/20180429_140506_canny.tif,3879,9289,1,3,0.1843137254901961,0.0862745098039215,0.0943170210894416,0.880146324634552,0.11985369771718979
2.459,./data/SAR/20180429_140506_canny.tif,3880,9289,1,3,0.2431372549019607,0.0784313725490196,0.0943170210894416,0.8123170733451843,0.18768301606178284
2.439,./data/SAR/20180429_140506_canny.tif,3881,9289,1,3,0.188235294117647,0.0666666666666666,0.0943170210894416,0.621889054775238,0.37811094522476196
2.317,./data/SAR/20180429_140506_canny.tif,3883,9289,1,3,0.3333333333333333,0.1215686274509803,0.0943170210894416,0.5740466713905334,0.42595335841178894
2.399,./data/SAR/20180429_140506_canny.tif,3884,9288,1,1,0.2117647058823529,0.1058823529411764,0.0943303575702742,0.7106842398643494,0.289315789937973
2.291,./data/SAR/20180429_140506_canny.tif,3885,9288,1,1,0.2352941176470588,0.0784313725490196,0.0943303575702742,0.7537561655044556,0.2462438941001892
2.165,./data/SAR/20180429_140506_canny.tif,3886,9288,1,1,0.1803921568627451,0.0666666666666666,0.0943303575702742,0.7582573294639587,0.24174274504184723
2.117,./data/SAR/20180429_140506_canny.tif,3887,9287,1,1,0.1686274509803921,0.0392156862745098,0.0943437015309053,0.8796228766441345,0.12037710100412369
2.105,./data/SAR/20180429_140506_canny.tif,3888,9287,1,1,0.1686274509803921,0.0431372549019607,0.0943437015309053,0.9420068860054016,0.057993121445178986
2.547,./data/SAR/20180429_140506_canny.tif,3890,9287,1,1,0.1490196078431372,0.0509803921568627,0.0943437015309053,0.8777750134468079,0.12222493439912796
2.099,./data/SAR/20180429_140506_canny.tif,3891,9286,1,1,0.196078431372549,0.0431372549019607,0.0943570454915364,0.8906397819519043,0.10936027020215988
1.971,./data/SAR/20180429_140506_canny.tif,3892,9286,1,1,0.2392156862745098,0.0549019607843137,0.0943570454915364,0.8706013560295105,0.1293986737728119
2.033,./data/SAR/20180429_140506_canny.tif,3893,9286,1,1,0.1607843137254902,0.0549019607843137,0.0943570454915364,0.9048441052436829,0.09515587240457535
2.092,./data/SAR/20180429_140506_canny.tif,3894,9285,1,1,0.1764705882352941,0.0431372549019607,0.0943703894521675,0.9195513725280762,0.0804486870765686
2.157,./data/SAR/20180429_140506_canny.tif,3895,9285,1,1,0.1843137254901961,0.0470588235294117,0.0943703894521675,0.9008215665817261,0.09917844831943512
2.246,./data/SAR/20180429_140506_canny.tif,3896,9284,1,1,0.1725490196078431,0.0392156862745098,0.0943837334127987,0.9290173649787903,0.07098264992237091
1.913,./data/SAR/20180429_140506_canny.tif,3897,9284,1,3,0.2196078431372549,0.0549019607843137,0.0943837334127987,0.8645322322845459,0.1354677677154541
2.26,./data/SAR/20180429_140506_canny.tif,3898,9283,1,3,0.2235294117647059,0.0588235294117647,0.0943970773734298,0.8926321864128113,0.10736779868602753
2.103,./data/SAR/20180429_140506_canny.tif,3900,9283,1,3,0.2627450980392157,0.0588235294117647,0.0943970773734298,0.8818963766098022,0.11810360103845596
1.75,./data/SAR/20180429_140506_canny.tif,3901,9283,1,3,0.2470588235294117,0.0705882352941176,0.0943970773734298,0.8449229001998901,0.15507709980010986
1.845,./data/SAR/20180429_140506_canny.tif,3902,9282,1,3,0.1647058823529411,0.0627450980392156,0.0944104213340609,0.9313951730728149,0.06860476732254028
1.79,./data/SAR/20180429_140506_canny.tif,3903,9282,1,1,0.1568627450980392,0.0431372549019607,0.0944104213340609,0.7838191390037537,0.21618086099624634
2.002,./data/SAR/20180429_140506_canny.tif,3904,9282,1,1,0.2392156862745098,0.0549019607843137,0.0944104213340609,0.8362807035446167,0.1637193262577057
2.13,./data/SAR/20180429_140506_canny.tif,3905,9282,1,1,0.2470588235294117,0.0666666666666666,0.0944104213340609,0.8017419576644897,0.19825813174247742
2.604,./data/SAR/20180429_140506_canny.tif,3906,9281,1,1,0.2078431372549019,0.0588235294117647,0.0944237652946921,0.8000730872154236,0.19992688298225403
